Date,Value
1/1/1950,-1.53
2/1/1950,-1.34
3/1/1950,-1.16
4/1/1950,-1.18
5/1/1950,-1.07
6/1/1950,-0.85
7/1/1950,-0.54
8/1/1950,-0.42
9/1/1950,-0.39
10/1/1950,-0.44
11/1/1950,-0.6
12/1/1950,-0.8
1/1/1951,-0.82
2/1/1951,-0.54
3/1/1951,-0.17
4/1/1951,0.18
5/1/1951,0.36
6/1/1951,0.58
7/1/1951,0.7
8/1/1951,0.89
9/1/1951,0.99
10/1/1951,1.15
11/1/1951,1.04
12/1/1951,0.81
1/1/1952,0.53
2/1/1952,0.37
3/1/1952,0.34
4/1/1952,0.29
5/1/1952,0.2
6/1/1952,0
7/1/1952,-0.08
8/1/1952,0
9/1/1952,0.15
10/1/1952,0.1
11/1/1952,0.04
12/1/1952,0.15
1/1/1953,0.4
2/1/1953,0.6
3/1/1953,0.63
4/1/1953,0.66
5/1/1953,0.75
6/1/1953,0.77
7/1/1953,0.75
8/1/1953,0.73
9/1/1953,0.78
10/1/1953,0.84
11/1/1953,0.84
12/1/1953,0.81
1/1/1954,0.76
2/1/1954,0.47
3/1/1954,-0.05
4/1/1954,-0.41
5/1/1954,-0.54
6/1/1954,-0.5
7/1/1954,-0.64
8/1/1954,-0.84
9/1/1954,-0.9
10/1/1954,-0.77
11/1/1954,-0.73
12/1/1954,-0.66
1/1/1955,-0.68
2/1/1955,-0.62
3/1/1955,-0.69
4/1/1955,-0.8
5/1/1955,-0.79
6/1/1955,-0.72
7/1/1955,-0.68
8/1/1955,-0.75
9/1/1955,-1.09
10/1/1955,-1.42
11/1/1955,-1.67
12/1/1955,-1.47
1/1/1956,-1.11
2/1/1956,-0.76
3/1/1956,-0.63
4/1/1956,-0.54
5/1/1956,-0.52
6/1/1956,-0.51
7/1/1956,-0.57
8/1/1956,-0.55
9/1/1956,-0.46
10/1/1956,-0.42
11/1/1956,-0.43
12/1/1956,-0.43
1/1/1957,-0.25
2/1/1957,0.06
3/1/1957,0.41
4/1/1957,0.72
5/1/1957,0.92
6/1/1957,1.11
7/1/1957,1.25
8/1/1957,1.32
9/1/1957,1.33
10/1/1957,1.39
11/1/1957,1.53
12/1/1957,1.74
1/1/1958,1.81
2/1/1958,1.66
3/1/1958,1.27
4/1/1958,0.93
5/1/1958,0.74
6/1/1958,0.64
7/1/1958,0.57
8/1/1958,0.43
9/1/1958,0.39
10/1/1958,0.44
11/1/1958,0.5
12/1/1958,0.61
1/1/1959,0.61
2/1/1959,0.62
3/1/1959,0.52
4/1/1959,0.33
5/1/1959,0.2
6/1/1959,-0.07
7/1/1959,-0.18
8/1/1959,-0.28
9/1/1959,-0.09
10/1/1959,-0.03
11/1/1959,0.05
12/1/1959,-0.04
1/1/1960,-0.1
2/1/1960,-0.1
3/1/1960,-0.07
4/1/1960,0.03
5/1/1960,0.02
6/1/1960,0.03
7/1/1960,0.13
8/1/1960,0.24
9/1/1960,0.27
10/1/1960,0.2
11/1/1960,0.12
12/1/1960,0.05
1/1/1961,0.04
2/1/1961,0.03
3/1/1961,0.04
4/1/1961,0.09
5/1/1961,0.23
6/1/1961,0.27
7/1/1961,0.14
8/1/1961,-0.13
9/1/1961,-0.3
10/1/1961,-0.26
11/1/1961,-0.19
12/1/1961,-0.16
1/1/1962,-0.24
2/1/1962,-0.22
3/1/1962,-0.2
4/1/1962,-0.26
5/1/1962,-0.28
6/1/1962,-0.2
7/1/1962,-0.04
8/1/1962,-0.07
9/1/1962,-0.11
10/1/1962,-0.22
11/1/1962,-0.31
12/1/1962,-0.43
1/1/1963,-0.4
2/1/1963,-0.15
3/1/1963,0.15
4/1/1963,0.27
5/1/1963,0.31
6/1/1963,0.52
7/1/1963,0.86
8/1/1963,1.14
9/1/1963,1.22
10/1/1963,1.29
11/1/1963,1.37
12/1/1963,1.31
1/1/1964,1.07
2/1/1964,0.62
3/1/1964,0.12
4/1/1964,-0.33
5/1/1964,-0.58
6/1/1964,-0.58
7/1/1964,-0.6
8/1/1964,-0.66
9/1/1964,-0.76
10/1/1964,-0.8
11/1/1964,-0.82
12/1/1964,-0.78
1/1/1965,-0.59
2/1/1965,-0.28
3/1/1965,-0.07
4/1/1965,0.18
5/1/1965,0.46
6/1/1965,0.83
7/1/1965,1.22
8/1/1965,1.54
9/1/1965,1.85
10/1/1965,1.98
11/1/1965,1.97
12/1/1965,1.72
1/1/1966,1.37
2/1/1966,1.17
3/1/1966,0.98
4/1/1966,0.66
5/1/1966,0.35
6/1/1966,0.24
7/1/1966,0.24
8/1/1966,0.12
9/1/1966,-0.05
10/1/1966,-0.1
11/1/1966,-0.18
12/1/1966,-0.3
1/1/1967,-0.41
2/1/1967,-0.48
3/1/1967,-0.53
4/1/1967,-0.45
5/1/1967,-0.24
6/1/1967,0
7/1/1967,0.05
8/1/1967,-0.16
9/1/1967,-0.3
10/1/1967,-0.38
11/1/1967,-0.34
12/1/1967,-0.44
1/1/1968,-0.64
2/1/1968,-0.74
3/1/1968,-0.62
4/1/1968,-0.44
5/1/1968,-0.04
6/1/1968,0.28
7/1/1968,0.58
8/1/1968,0.53
9/1/1968,0.45
10/1/1968,0.55
11/1/1968,0.73
12/1/1968,0.98
1/1/1969,1.13
2/1/1969,1.09
3/1/1969,0.95
4/1/1969,0.77
5/1/1969,0.61
6/1/1969,0.43
7/1/1969,0.36
8/1/1969,0.51
9/1/1969,0.79
10/1/1969,0.86
11/1/1969,0.81
12/1/1969,0.63
1/1/1970,0.51
2/1/1970,0.34
3/1/1970,0.29
4/1/1970,0.19
5/1/1970,0.04
6/1/1970,-0.3
7/1/1970,-0.63
8/1/1970,-0.76
9/1/1970,-0.77
10/1/1970,-0.74
11/1/1970,-0.86
12/1/1970,-1.15
1/1/1971,-1.36
2/1/1971,-1.38
3/1/1971,-1.12
4/1/1971,-0.85
5/1/1971,-0.73
6/1/1971,-0.74
7/1/1971,-0.8
8/1/1971,-0.77
9/1/1971,-0.82
10/1/1971,-0.85
11/1/1971,-0.96
12/1/1971,-0.9
1/1/1972,-0.71
2/1/1972,-0.35
3/1/1972,0.06
4/1/1972,0.41
5/1/1972,0.67
6/1/1972,0.92
7/1/1972,1.13
8/1/1972,1.37
9/1/1972,1.58
10/1/1972,1.84
11/1/1972,2.09
12/1/1972,2.12
1/1/1973,1.84
2/1/1973,1.25
3/1/1973,0.54
4/1/1973,-0.1
5/1/1973,-0.54
6/1/1973,-0.87
7/1/1973,-1.11
8/1/1973,-1.28
9/1/1973,-1.45
10/1/1973,-1.71
11/1/1973,-1.95
12/1/1973,-2.03
1/1/1974,-1.84
2/1/1974,-1.55
3/1/1974,-1.23
4/1/1974,-1.03
5/1/1974,-0.91
6/1/1974,-0.77
7/1/1974,-0.53
8/1/1974,-0.37
9/1/1974,-0.41
10/1/1974,-0.61
11/1/1974,-0.75
12/1/1974,-0.64
1/1/1975,-0.54
2/1/1975,-0.57
3/1/1975,-0.65
4/1/1975,-0.73
5/1/1975,-0.83
6/1/1975,-0.98
7/1/1975,-1.13
8/1/1975,-1.2
9/1/1975,-1.37
10/1/1975,-1.43
11/1/1975,-1.55
12/1/1975,-1.65
1/1/1976,-1.56
2/1/1976,-1.17
3/1/1976,-0.73
4/1/1976,-0.47
5/1/1976,-0.28
6/1/1976,-0.05
7/1/1976,0.18
8/1/1976,0.35
9/1/1976,0.62
10/1/1976,0.81
11/1/1976,0.86
12/1/1976,0.85
1/1/1977,0.71
2/1/1977,0.64
3/1/1977,0.34
4/1/1977,0.23
5/1/1977,0.21
6/1/1977,0.34
7/1/1977,0.35
8/1/1977,0.42
9/1/1977,0.57
10/1/1977,0.73
11/1/1977,0.81
12/1/1977,0.79
1/1/1978,0.69
2/1/1978,0.42
3/1/1978,0.06
4/1/1978,-0.18
5/1/1978,-0.31
6/1/1978,-0.29
7/1/1978,-0.36
8/1/1978,-0.42
9/1/1978,-0.42
10/1/1978,-0.29
11/1/1978,-0.08
12/1/1978,0
1/1/1979,0.03
2/1/1979,0.07
3/1/1979,0.2
4/1/1979,0.28
5/1/1979,0.23
6/1/1979,0.05
7/1/1979,0.04
8/1/1979,0.17
9/1/1979,0.33
10/1/1979,0.45
11/1/1979,0.52
12/1/1979,0.64
1/1/1980,0.59
2/1/1980,0.46
3/1/1980,0.34
4/1/1980,0.38
5/1/1980,0.48
6/1/1980,0.46
7/1/1980,0.25
8/1/1980,0.03
9/1/1980,-0.07
10/1/1980,0.02
11/1/1980,0.11
